id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
12201,59B,small_airport,Newton Field,45.632801,-70.248802,1178,NA,US,US-ME,Jackman,no,59B,,59B,,https://en.wikipedia.org/wiki/Newton_Field,
521639,59NH,heliport,Crawford Heliport,42.787842,-71.30922,181,NA,US,US-NH,Windham,no,59NH,,59NH,,,
12280,5B1,small_airport,John H Boylan State (Island Pond) Airport,44.789694,-71.826068,1194,NA,US,US-VT,Island Pond,no,,,5B1,,https://en.wikipedia.org/wiki/John_H._Boylan_State_Airport,
12283,5B6,small_airport,Falmouth Airpark,41.585602,-70.540398,43,NA,US,US-MA,Falmouth,no,5B6,,5B6,,https://en.wikipedia.org/wiki/Falmouth_Airpark,
12285,5B9,small_airport,Dean Memorial Airport,44.080601,-72.007896,582,NA,US,US-NH,North Haverhill,no,5B9,,5B9,,https://en.wikipedia.org/wiki/Dean_Memorial_Airport,
12320,5CT0,small_airport,Eastford Airport,41.91040039,-72.06809998,600,NA,US,US-CT,Eastford,no,5CT0,,5CT0,,,
12321,5CT1,heliport,Rondo Heliport,41.508399963378906,-73.03730011,530,NA,US,US-CT,Nangatuck,no,5CT1,,5CT1,,,
12322,5CT2,heliport,Hsi Heliport,41.252601623535156,-72.99569702,90,NA,US,US-CT,Orange,no,5CT2,,5CT2,,,
12323,5CT3,heliport,South Glastonbury Heliport,41.644500732421875,-72.57230377,550,NA,US,US-CT,South Glastonbury,no,5CT3,,5CT3,,,
12324,5CT4,heliport,Norwalk Hospital Heliport,41.112105,-73.422541,156,NA,US,US-CT,Norwalk,no,5CT4,,5CT4,,,
12325,5CT5,small_airport,Thomson Field,41.632301330566406,-73.21620178,820,NA,US,US-CT,Bethlehem,no,5CT5,,5CT5,,,
12326,5CT6,small_airport,Buell Farm Ultralightport,41.919498443603516,-72.11840057,670,NA,US,US-CT,Eastford,no,5CT6,,5CT6,,,
12327,5CT7,small_airport,Mile Creek Airport,41.30229949951172,-72.29620361,30,NA,US,US-CT,Old Lyme,no,5CT7,,5CT7,,,
12328,5CT8,closed,Canal Street Heliport,41.042684,-73.530836,50,NA,US,US-CT,Stamford,no,,,,,,"5CT8, 5CT8"
12469,5MA0,heliport,Federal Center Heliport,42.39649963378906,-71.21620178,220,NA,US,US-MA,Waltham,no,5MA0,,5MA0,,,
